index,model,sentence_id,sentence_en,correct_sentence,correct_word,mutation_type,trigger_type,incorrect_word,incorrect_sentence,p_correct,p_incorrect
0,meta-llama/Llama-3.1-8B,cy_ccg_train:01309,,"Dwi eisiau arwain pobol ar y siwrnai honno, wrth i ni feddwl, ""oes 'na ffordd well i ni neud pethau?""",pobol,no_mutation,no_mutation,bobol,"Dwi eisiau arwain bobol ar y siwrnai honno, wrth i ni feddwl, ""oes 'na ffordd well i ni neud pethau?""",3.4477968215942383,3.4898595809936523
1,meta-llama/Llama-3.1-8B,cy_ccg_train:00208,I often state on Monday nights when broadcasting live from BBC Bangor how much I appreciate the opportunity to prepare three hours of music for the listeners.,Byddaf yn datgan yn aml ar nos Lun wrth ddarlledu yn fyw o BBC Bangor faint rwyf yn gwerthfawrogi'r cyfle i baratoi tair awr o gerddoriaeth ar gyfer y gwrandawyr.,faint,SM,MS,maint,Byddaf yn datgan yn aml ar nos Lun wrth ddarlledu yn fyw o BBC Bangor maint rwyf yn gwerthfawrogi'r cyfle i baratoi tair awr o gerddoriaeth ar gyfer y gwrandawyr.,2.676224708557129,2.7112526893615723
2,meta-llama/Llama-3.1-8B,cy_ccg_test:00600,Glyndŵr was crowned prince of Wales and held a parliament with representatives from across the country.,Coronwyd Glyndŵr yn dywysog Cymru ac fe gynhaliodd senedd gyda chynrychiolwyr o bob cwr o'r wlad.,dywysog,SM,MS,tywysog,Coronwyd Glyndŵr yn tywysog Cymru ac fe gynhaliodd senedd gyda chynrychiolwyr o bob cwr o'r wlad.,2.7755815982818604,2.8783445358276367
3,meta-llama/Llama-3.1-8B,cy_ccg_train:00032,According to the EU brazidiers that prevented us from making a good deal on marketing as some of the countries in the Union look after their own interests and stand against any deal on marketing that will benefit Britain.,Yn ôl y brecsidiers yr UE oedd yn ein hatal o wneud fargen da ar farchnata gan fod rhai o'r gwledydd yn yr Undeb yn edrych ar ôl eu budd eu hunain ac yn sefyll yn erbyn unrhyw fargen ar farchnata bydd o fantais i Brydain.,da,no_mutation,no_mutation,dda,Yn ôl y brecsidiers yr UE oedd yn ein hatal o wneud fargen dda ar farchnata gan fod rhai o'r gwledydd yn yr Undeb yn edrych ar ôl eu budd eu hunain ac yn sefyll yn erbyn unrhyw fargen ar farchnata bydd o fantais i Bryddain.,2.9456381797790527,3.112433910369873
4,meta-llama/Llama-3.1-8B,cy_ccg_train:00193,"To ensure that children are safe in a childcare setting, they need to be supervised at all times.","Er mwyn gwneud yn siŵr bod plant yn ddiogel mewn lleoliad gofal plant, rhaid sicrhau eu bod yn cael eu goruchwylio gydol yr amser.",plant,no_mutation,no_mutation,blant,"Er mwyn gwneud yn siŵr bod blant yn ddiogel mewn lleoliad gofal plant, rhaid sicrhau eu bod yn cael eu goruchwylio gydol yr amser.",2.1223442554473877,2.1535696983337402
5,meta-llama/Llama-3.1-8B,cy_ccg_train:00581,Remember that young people aged 16 and 17 have the right to vote in the Senedd elections in May.,Cofiwch fod gan bobol ifanc 16 ac 17 oed yr hawl i bleidleisio yn etholiadau'r Senedd ym mis Mai.,fod,SM,MS,bod,Cofiwch bod gan bobol ifanc 16 ac 17 oed yr hawl i bleidleisio yn etholiadau'r Senedd ym mis Mai.,2.1510045528411865,2.6037557125091553
6,meta-llama/Llama-3.1-8B,cy_ccg_train:00735,"In retrospect, I could see how my mind was creating the problems and the distance between me and my friends.","Wrth edrych yn ôl, fedrai weld sut oedd fy meddwl i'n creu'r problemau a'r pellter rhyngdda fi a'm ffrindiau.",fedrai,SM,MS,medrai,"Wrth edrych yn ôl, medrai weld sut oedd fy meddwl i'n creu'r problemau a'r pellter rhyngdda fi a'm ffrindiau.",3.171149730682373,2.9876208305358887
7,meta-llama/Llama-3.1-8B,cy_ccg_train:00206,"Because of my work with the BBC, presenting the show on Monday, I have been instructed to stay away from the political sphere until the election is over (in the sense of public opinion).","Oherwydd fy ngwaith hefo'r BBC, yn cyflwyno'r sioe nos Lun, rwyf wedi cael cyfarwyddyd i gadw draw o'r maes gwleidyddol tan fod yr etholiad drosodd (yn yr ystyr datgan barn cyhoeddus).",cael,no_mutation,no_mutation,gael,"Oherwydd fy ngwaith hefo'r BBC, yn cyflwyno'r sioe nos Lun, rwyf wedi gael cyfarwyddyd i gadw draw o'r maes gwleidyddol tan fod yr etholiad drosodd (yn yr ystyr datgan barn cyhoeddus).",2.763066530227661,2.8446249961853027
8,meta-llama/Llama-3.1-8B,cy_ccg_dev:00299,"If releasing The Platform on a seasonal basis has taught me anything, it's that time goes by so fast it's quite skyscrapers.","Os ma' rhyddhau Y Platfform yn dymhorol wedi dysgu unrhyw beth i mi, hynny ydi for amser yn mynd mor sydyn mae e'n eitha sgêri.",mor,no_mutation,no_mutation,for,"Os ma' rhyddhau Y Platfform yn dymhorol wedi dysgu unrhyw beth i mi, hynny ydi for amser yn mynd for sydyn mae e'n eitha sgêri.",4.221468448638916,4.283857345581055
9,meta-llama/Llama-3.1-8B,cy_ccg_dev:00067,"I like the idea that Europe is trying to raise living standards across the continent, for the benefit of all.","Rwy'n hoffi'r syniad fod Ewrop yn ceisio codi safonau byw ar draws y cyfandir, er lles pawb.",ceisio,no_mutation,no_mutation,geisio,"Rwy'n hoffi'r syniad fod Ewrop yn geisio codi safonau byw ar draws y cyfandir, er lles pawb.",2.603853225708008,2.673844337463379
