index,model,sentence_id,sentence_en,correct_sentence,correct_word,mutation_type,trigger_type,incorrect_word,incorrect_sentence,p_correct,p_incorrect
0,britllm/britllm-3b-v0.1,cy_ccg_train:01309,,"Dwi eisiau arwain pobol ar y siwrnai honno, wrth i ni feddwl, ""oes 'na ffordd well i ni neud pethau?""",pobol,no_mutation,no_mutation,bobol,"Dwi eisiau arwain bobol ar y siwrnai honno, wrth i ni feddwl, ""oes 'na ffordd well i ni neud pethau?""",1.6858341693878174,1.7728219032287598
1,britllm/britllm-3b-v0.1,cy_ccg_train:00208,I often state on Monday nights when broadcasting live from BBC Bangor how much I appreciate the opportunity to prepare three hours of music for the listeners.,Byddaf yn datgan yn aml ar nos Lun wrth ddarlledu yn fyw o BBC Bangor faint rwyf yn gwerthfawrogi'r cyfle i baratoi tair awr o gerddoriaeth ar gyfer y gwrandawyr.,faint,SM,MS,maint,Byddaf yn datgan yn aml ar nos Lun wrth ddarlledu yn fyw o BBC Bangor maint rwyf yn gwerthfawrogi'r cyfle i baratoi tair awr o gerddoriaeth ar gyfer y gwrandawyr.,1.6883512735366821,1.8205891847610474
2,britllm/britllm-3b-v0.1,cy_ccg_test:00600,Glyndŵr was crowned prince of Wales and held a parliament with representatives from across the country.,Coronwyd Glyndŵr yn dywysog Cymru ac fe gynhaliodd senedd gyda chynrychiolwyr o bob cwr o'r wlad.,dywysog,SM,MS,tywysog,Coronwyd Glyndŵr yn tywysog Cymru ac fe gynhaliodd senedd gyda chynrychiolwyr o bob cwr o'r wlad.,1.4277251958847046,1.4956589937210083
3,britllm/britllm-3b-v0.1,cy_ccg_train:00032,According to the EU brazidiers that prevented us from making a good deal on marketing as some of the countries in the Union look after their own interests and stand against any deal on marketing that will benefit Britain.,Yn ôl y brecsidiers yr UE oedd yn ein hatal o wneud fargen da ar farchnata gan fod rhai o'r gwledydd yn yr Undeb yn edrych ar ôl eu budd eu hunain ac yn sefyll yn erbyn unrhyw fargen ar farchnata bydd o fantais i Brydain.,da,no_mutation,no_mutation,dda,Yn ôl y brecsidiers yr UE oedd yn ein hatal o wneud fargen dda ar farchnata gan fod rhai o'r gwledydd yn yr Undeb yn edrych ar ôl eu budd eu hunain ac yn sefyll yn erbyn unrhyw fargen ar farchnata bydd o fantais i Bryddain.,2.0536961555480957,2.3164281845092773
4,britllm/britllm-3b-v0.1,cy_ccg_train:00193,"To ensure that children are safe in a childcare setting, they need to be supervised at all times.","Er mwyn gwneud yn siŵr bod plant yn ddiogel mewn lleoliad gofal plant, rhaid sicrhau eu bod yn cael eu goruchwylio gydol yr amser.",plant,no_mutation,no_mutation,blant,"Er mwyn gwneud yn siŵr bod blant yn ddiogel mewn lleoliad gofal plant, rhaid sicrhau eu bod yn cael eu goruchwylio gydol yr amser.",0.9634061455726624,1.056548833847046
5,britllm/britllm-3b-v0.1,cy_ccg_train:00581,Remember that young people aged 16 and 17 have the right to vote in the Senedd elections in May.,Cofiwch fod gan bobol ifanc 16 ac 17 oed yr hawl i bleidleisio yn etholiadau'r Senedd ym mis Mai.,fod,SM,MS,bod,Cofiwch bod gan bobol ifanc 16 ac 17 oed yr hawl i bleidleisio yn etholiadau'r Senedd ym mis Mai.,0.8427533507347107,0.8861903548240662
6,britllm/britllm-3b-v0.1,cy_ccg_train:00735,"In retrospect, I could see how my mind was creating the problems and the distance between me and my friends.","Wrth edrych yn ôl, fedrai weld sut oedd fy meddwl i'n creu'r problemau a'r pellter rhyngdda fi a'm ffrindiau.",fedrai,SM,MS,medrai,"Wrth edrych yn ôl, medrai weld sut oedd fy meddwl i'n creu'r problemau a'r pellter rhyngdda fi a'm ffrindiau.",1.480657935142517,1.6352471113204956
7,britllm/britllm-3b-v0.1,cy_ccg_train:00206,"Because of my work with the BBC, presenting the show on Monday, I have been instructed to stay away from the political sphere until the election is over (in the sense of public opinion).","Oherwydd fy ngwaith hefo'r BBC, yn cyflwyno'r sioe nos Lun, rwyf wedi cael cyfarwyddyd i gadw draw o'r maes gwleidyddol tan fod yr etholiad drosodd (yn yr ystyr datgan barn cyhoeddus).",cael,no_mutation,no_mutation,gael,"Oherwydd fy ngwaith hefo'r BBC, yn cyflwyno'r sioe nos Lun, rwyf wedi gael cyfarwyddyd i gadw draw o'r maes gwleidyddol tan fod yr etholiad drosodd (yn yr ystyr datgan barn cyhoeddus).",1.6235400438308716,1.705764651298523
8,britllm/britllm-3b-v0.1,cy_ccg_dev:00299,"If releasing The Platform on a seasonal basis has taught me anything, it's that time goes by so fast it's quite skyscrapers.","Os ma' rhyddhau Y Platfform yn dymhorol wedi dysgu unrhyw beth i mi, hynny ydi for amser yn mynd mor sydyn mae e'n eitha sgêri.",mor,no_mutation,no_mutation,for,"Os ma' rhyddhau Y Platfform yn dymhorol wedi dysgu unrhyw beth i mi, hynny ydi for amser yn mynd for sydyn mae e'n eitha sgêri.",2.4815192222595215,2.8143537044525146
9,britllm/britllm-3b-v0.1,cy_ccg_dev:00067,"I like the idea that Europe is trying to raise living standards across the continent, for the benefit of all.","Rwy'n hoffi'r syniad fod Ewrop yn ceisio codi safonau byw ar draws y cyfandir, er lles pawb.",ceisio,no_mutation,no_mutation,geisio,"Rwy'n hoffi'r syniad fod Ewrop yn geisio codi safonau byw ar draws y cyfandir, er lles pawb.",1.4742615222930908,1.624537467956543
10,britllm/britllm-3b-v0.1,cy_ccg_train:00035,Certainly other countries are more keen to reach an agreement with the EU than with Britain as it is a much larger market than Britain.,Yn sicr mae gwledydd eraill yn fwy awyddus i gael cytundeb gyda'r UE na gyda Phrydain gan fod e yn farchnad llawer mwy nag un Prydain.,gael,SM,L,cael,Yn sicr mae gwledydd eraill yn fwy awyddus i cael cytundeb gyda'r UE na gyda Phrydain gan fod e yn farchnad llawer mwy nag un Prydain.,1.5329512357711792,1.6330147981643677
11,britllm/britllm-3b-v0.1,cy_ccg_train:00314,"That status came to an end mid-morning, with police saying they were ""ready to respond to any floods"" and warning people again not to drive into still water.","Daeth y statws hwnnw i ben ganol y bore, gyda'r heddlu'n dweud eu bod nhw'n ""barod i ymateb i unrhyw lifogydd"" ac yn rhybuddio pobl unwaith eto i beidio â gyrru i mewn i ddŵr llonydd.",bod,no_mutation,no_mutation,fod,"Daeth y statws hwnnw i ben ganol y bore, gyda'r heddlu'n dweud eu fod nhw'n ""barod i ymateb i unrhyw lifogydd"" ac yn rhybuddio pobl unwaith eto i beidio â gyrru i mewn i ddŵr llonydd.",1.3676644563674927,1.4587819576263428
12,britllm/britllm-3b-v0.1,cy_ccg_test:00685,"A few thousand people attended the event organized by the Everybody Under One Flag organization, but where a number of other independence organizations were represented.","Roedd ychydig filoedd yn bresennol yn y digwyddiad a gafodd ei drefnu gan fudiad Pawb Dan Un Faner, ond lle'r oedd nifer o fudiadau annibyniaeth eraill wedi cael eu cynrychioli.",filoedd,SM,L,miloedd,"Roedd ychydig miloedd yn bresennol yn y digwyddiad a gafodd ei drefnu gan fudiad Pawb Dan Un Faner, ond lle'r oedd nifer o fudiadau annibyniaeth eraill wedi cael eu cynrychioli.",1.3404933214187622,1.3698848485946655
13,britllm/britllm-3b-v0.1,cy_ccg_train:00561,"I would say that an attitude towards the Welsh language goes a long way, even though on the surface it is a farce.","Byddwn i'n dweud bod agwedd tuag at y Gymraeg yn mynd yn bell iawn, er bod y peth ar y wyneb yn ffars.",Gymraeg,SM,MS,Cymraeg,"Byddwn i'n dweud bod agwedd tuag at y Cymraeg yn mynd yn bell iawn, er bod y peth ar y wyneb yn ffars.",1.8180458545684814,1.9840655326843262
14,britllm/britllm-3b-v0.1,cy_ccg_train:01353,,"Yn seiliedig ar fodel iaith mawr, mae'n galluogi defnyddwyr i fireinio a llywio sgwrs yn unol â'r hyd, fformat, arddull, lefel manylder ac iaith a ddymunir.",fodel,SM,L,model,"Yn seiliedig ar model iaith mawr, mae'n galluogi defnyddwyr i fireinio a llywio sgwrs yn unol â'r hyd, fformat, arddull, lefel manylder ac iaith a ddymunir.",1.620295763015747,1.7025432586669922
15,britllm/britllm-3b-v0.1,cy_ccg_train:01113,,"Dechreuodd Mihangel y ddeiseb pum mis yn ôl ac er ei fod heb atynnu llawer o lofnodion pryd hynny, mae'r ddeiseb wedi cyrraedd 1,000 o lofnodion erbyn hyn.",ddeiseb,SM,MS,deiseb,"Dechreuodd Mihangel y ddeiseb pum mis yn ôl ac er ei fod heb atynnu llawer o lofnodion pryd hynny, mae'r deiseb wedi cyrraedd 1,000 o lofnodion erbyn hyn.",1.3531723022460938,1.4028786420822144
16,britllm/britllm-3b-v0.1,cy_ccg_test:00389,In the early 1970s Cymdeithas yr Iaith started campaigning for a Welsh language radio and television broadcasting service.,Ar ddechrau'r 1970au dechreuodd Cymdeithas yr Iaith ymgyrchu dros wasanaeth darlledu radio a theledu Cymraeg.,wasanaeth,SM,L,gwasanaeth,Ar ddechrau'r 1970au dechreuodd Cymdeithas yr Iaith ymgyrchu dros gwasanaeth darlledu radio a theledu Cymraeg.,0.9118643999099731,1.0268521308898926
