index,model,sentence_id,sentence_en,correct_sentence,correct_word,mutation_type,trigger_type,incorrect_word,incorrect_sentence,p_correct,p_incorrect
250,meta-llama/Llama-3.1-8B,cy_ccg_train:00359,"It is particularly interesting to assess the different types of theatrical theories that have existed for centuries, and how it developed after a number of historical events.","Y mae'n hynod o ddiddorol i gael asesu'r wahanol fathau o ddamcaniaethau theatraidd a fodolir ers canrifoedd, a sut yr oedd yn datblygu wedi i nifer o ddigwyddiadau hanesyddol.",gael,SM,L,cael,"Y mae'n hynod o ddiddorol i cael asesu'r wahanol fathau o ddamcaniaethau theatraidd a fodolir ers canrifoedd, a sut yr oedd yn datblygu wedi i nifer o ddigwyddiadau hanesyddol.",2.0599403381347656,2.153691053390503
251,meta-llama/Llama-3.1-8B,cy_ccg_train:00725,"My other daughter, Lisa, came back from London to raise her children too and she lives six houses away from me, an old mum's house.","Mi ddaeth fy merch arall, Lisa, nôl o Lundain i fagu ei phlant hi hefyd ac mae hi'n byw chwech tŷ oddi wrthaf fi, yn hen dŷ mam.",dŷ,SM,MS,tŷ,"Mi ddaeth fy merch arall, Lisa, nôl o Lundain i fagu ei phlant hi hefyd ac mae hi'n byw chwech tŷ oddi wrthaf fi, yn hen tŷ mam.",3.22067928314209,3.1855032444000244
252,meta-llama/Llama-3.1-8B,cy_ccg_test:00901,"At Cambridge he studied philosophy, mathematics and Greek, graduating as a bachelor of arts in 1568 and master in 1571.","Yng Nghaergrawnt fe astudiodd athroniaeth, mathemateg a Groeg gan raddio'n faglor yn y celfyddydau ym 1568 ac yn feistr ym 1571.",faglor,SM,MS,baglor,"Yng Nghaergrawnt fe astudiodd athroniaeth, mathemateg a Groeg gan raddio'n baglor yn y celfyddydau ym 1568 ac yn feistr ym 1571.",2.706629514694214,2.617781162261963
253,meta-llama/Llama-3.1-8B,cy_ccg_train:01055,"Storytellers and singers will perform around the fire on the edge of the main festival, and there will be a live radio broadcast during the weekend, as well as an opportunity and specific area for speakers of the language to gather and practice their Irish.","Bydd storïwyr a chantorion yn perfformio o amgylch y tân ar gyrion y brif ŵyl, a bydd darllediad radio byw yn ystod y penwythnos, yn ogystal â chyfle ac ardal benodol i siaradwyr yr iaith ymgasglu ac ymarfer eu Gwyddeleg.",bydd,no_mutation,no_mutation,fydd,"Bydd storïwyr a chantorion yn perfformio o amgylch y tân ar gyrion y brif ŵyl, a fydd darllediad radio byw yn ystod y penwythnos, yn ogystal â chyfle ac ardal benodol i siaradwyr yr iaith ymgasglu ac ymarfer eu Gwyddeleg.",2.559495687484741,2.6021640300750732
254,meta-llama/Llama-3.1-8B,cy_ccg_test:00726,Once it becomes clear that you want to be absent for more than 13 weeks your Housing and Council Tax Benefit will stop.,Unwaith iddi ddod yn amlwg eich bod am fod yn absennol am fwy na 13 wythnos bydd eich Budd-dal Tai a Threth Cyngor yn peidio.,fod,SM,L,bod,Unwaith iddi ddod yn amlwg eich bod am bod yn absennol am fwy na 13 wythnos bydd eich Budd-dal Tai a Threth Cyngor yn peidio.,3.356064796447754,3.4277279376983643
255,meta-llama/Llama-3.1-8B,cy_ccg_train:00945,"They will also be strong in terms of influence, once combined into a party.","Byddant yn gryf o ran dylanwad hefyd, ar ôl eu cyfuno'n blaid.",dylanwad,no_mutation,no_mutation,ddylanwad,"Byddant yn gryf o ran ddylanwad hefyd, ar ôl eu cyfuno'n blaid.",3.1866214275360107,3.3184549808502197
256,meta-llama/Llama-3.1-8B,cy_ccg_train:01039,"The Diogelwn scheme was launched in 2021 so that owners could protect the Welsh names on their houses, but it has now been expanded to include names on land, and the scheme in its new form will be presented at an event on the Cymdeithas stand the Language on the field of the Eisteddfod today.","Lansiwyd cynllun Diogelwn yn 2021 er mwyn i berchnogion allu diogelu'r enwau Cymraeg ar eu tai, ond mae e bellach wedi ei ehangu i gynnwys enwau ar dir, a bydd y cynllun ar ei newydd wedd yn cael ei gyflwyno mewn digwyddiad ar stondin Cymdeithas yr Iaith ar faes yr Eisteddfod heddiw.",cael,no_mutation,no_mutation,gael,"Lansiwyd cynllun Diogelwn yn 2021 er mwyn i berchnogion allu diogelu'r enwau Cymraeg ar eu tai, ond mae e bellach wedi ei ehangu i gynnwys enwau ar dir, a bydd y cynllun ar ei newydd wedd yn gael ei gyflwyno mewn digwyddiad ar stondin Cymdeithas yr Iaith ar faes yr Eisteddfod heddiw.",2.2881875038146973,2.335106611251831
257,meta-llama/Llama-3.1-8B,cy_ccg_dev:00108,"But they are not necessarily very easy to find, and unlike more visible lakes such as Llyn Padarn and Llyn Tegid they are not easy to spot as you drive by on a day out.","Ond nid ydynt o angenrheidrwydd yn hawdd iawn i'w darganfod, ac yn wahanol i lynnoedd mwy gweladwy megis Llyn Padarn a Llyn Tegid nid ydynt yn hawdd i'w gweld wrth i chi yrru heibio ar ddiwrnod allan.",gweld,no_mutation,no_mutation,weld,"Ond nid ydynt o angenrheidrwydd yn hawdd iawn i'w darganfod, ac yn wahanol i lynnoedd mwy gweladwy megis Llyn Padarn a Llyn Tegid nid ydynt yn hawdd i'w weld wrth i chi yrru heibio ar ddiwrnod allan.",2.155871868133545,2.2127439975738525
258,meta-llama/Llama-3.1-8B,cy_ccg_train:00581,Remember that young people aged 16 and 17 have the right to vote in the Senedd elections in May.,Cofiwch fod gan bobol ifanc 16 ac 17 oed yr hawl i bleidleisio yn etholiadau'r Senedd ym mis Mai.,bobol,SM,L,pobol,Cofiwch fod gan pobol ifanc 16 ac 17 oed yr hawl i bleidleisio yn etholiadau'r Senedd ym mis Mai.,2.1510045528411865,2.1699225902557373
259,meta-llama/Llama-3.1-8B,cy_ccg_dev:00297,Many people have been sent home from work without paying with the factories losing contracts.,Mae nifer fawr o bobl wedi cael eu gyrru adra o'u gwaith heb dal gyda'r ffatrïoedd yn colli cytundebau.,dal,SM,L,tal,Mae nifer fawr o bobl wedi cael eu gyrru adra o'u gwaith heb tal gyda'r ffatrïoedd yn colli cytundebau.,2.759298801422119,2.9102861881256104
